index,EXPERIMENT_TIME,FINAL_BITCODE_NAME,FINAL_BITCODE_SIZE_KB,ORIGINAL_BITCODE_NAME,ORIGINAL_BITCODE_SIZE_KB,PTA_KIND,PTA_RSS_KB,SEA_TIME_BU_AND_LOCAL_MS,SEA_TIME_LOCAL_MS,SEA_TIME_PTA_MS,SEA_TIME_SMC_ANALYSIS_MS,SEA_TIME_TD_MS,SMC_ALL_AS,SMC_AS_BARRIER_CHECKS,SMC_AS_BARRIER_INTERESTING,SMC_AS_BARRIER_TOTAL,TOTAL_TIME_SMC_MS
cass.false.dsa,19/05/09-12:15:26,CASS_DDSim.llvm5.externalized.o0.g.n.pp.bc,1384,CASS_DDSim.llvm5.externalized.o0.g.bc,2164,SeaDsa_BUTD,45936,41,15,105,7,62,672,3094,779,12752,367
cass.false.dsa.true,19/05/23-22:46:23,CASS_DDSim.llvm5.externalized.o0.g.n.pp.bc,1384,CASS_DDSim.llvm5.externalized.o0.g.bc,2164,SeaDsa_BUTD,375104,29,5,1224,10,1050,681,12437,1230,14939,1759
cass.false.wave-diff,19/03/05-21:16:29,CASS_DDSim.llvm5.externalized.o0.g.n.pp.bc,1384,CASS_DDSim.llvm5.externalized.o0.g.bc,2164,SVF_Andersen_Diff_Wave_NoType,399720,,,827,2,,633,1984,283,7351,1456
cass.true.dsa,19/05/09-11:52:14,CASS_DDSim.llvm5.externalized.o0.g.n.pp.bc,1384,CASS_DDSim.llvm5.externalized.o0.g.bc,2164,TeaDsa_BUTD,46192,37,10,89,1,51,661,54,18,3258,525
cass.true.sparse,19/02/21-18:43:36,CASS_DDSim.llvm5.externalized.o0.g.n.pp.bc,1384,CASS_DDSim.llvm5.externalized.o0.g.bc,2164,SVF_Sparse,453396,,,1239,2,,631,1662,249,7020,1956
cass.true.wave-diff,19/02/21-23:03:52,CASS_DDSim.llvm5.externalized.o0.g.n.pp.bc,1384,CASS_DDSim.llvm5.externalized.o0.g.bc,2164,SVF_Andersen_Diff_Wave_Type,399996,,,792,6,,632,1788,272,7070,1458
h264ref.false.dsa,19/05/09-12:15:27,h264ref.n.pp.bc,2468,h264ref.bc,1816,SeaDsa_BUTD,183504,242,82,419,103,165,687,15304,4665,148080,1176
h264ref.false.dsa.true,19/05/23-22:46:28,h264ref.n.pp.bc,2468,h264ref.bc,1816,SeaDsa_BUTD,2323692,236,66,5911,117,4829,757,21855,6955,174960,8237
h264ref.false.wave-diff,19/03/05-21:16:35,h264ref.n.pp.bc,2468,h264ref.bc,1816,SVF_Andersen_Diff_Wave_NoType,1655320,,,6051,56,,600,0,0,38423,8460
h264ref.true.dsa,19/05/09-11:52:15,h264ref.n.pp.bc,2468,h264ref.bc,1816,TeaDsa_BUTD,197692,257,81,466,40,195,613,3943,2656,34666,1169
h264ref.true.sparse,19/02/21-18:43:52,h264ref.n.pp.bc,2468,h264ref.bc,1816,SVF_Sparse,1784468,,,7971,46,,591,0,0,37178,10458
h264ref.true.wave-diff,19/02/21-23:03:58,h264ref.n.pp.bc,2468,h264ref.bc,1816,SVF_Andersen_Diff_Wave_Type,1651924,,,5444,36,,537,0,0,22194,7655
hmmer.false.dsa,19/05/09-12:15:27,hmmer.n.pp.bc,544,hmmer.bc,720,SeaDsa_BUTD,44760,26,14,44,55,17,416,67006,3458,97155,276
hmmer.false.dsa.true,19/05/23-22:46:28,hmmer.n.pp.bc,544,hmmer.bc,720,SeaDsa_BUTD,102184,19,9,154,52,104,416,53531,3697,81597,474
hmmer.false.wave-diff,19/03/05-21:16:34,hmmer.n.pp.bc,544,hmmer.bc,720,SVF_Andersen_Diff_Wave_NoType,374504,,,773,16,,330,1645,82,23620,1357
hmmer.true.dsa,19/05/09-11:52:15,hmmer.n.pp.bc,544,hmmer.bc,720,TeaDsa_BUTD,39952,29,15,47,23,17,378,13798,886,29590,271
hmmer.true.sparse,19/02/21-18:43:50,hmmer.n.pp.bc,544,hmmer.bc,720,SVF_Sparse,437100,,,1621,15,,323,1645,82,22395,2356
hmmer.true.wave-diff,19/02/21-23:03:57,hmmer.n.pp.bc,544,hmmer.bc,720,SVF_Andersen_Diff_Wave_Type,373688,,,657,15,,329,1566,82,22358,1179
htop.false.dsa,19/05/09-12:15:26,htop.n.pp.bc,320,htop.bc,456,SeaDsa_BUTD,49324,23,5,58,40,32,291,109679,11789,109528,276
htop.false.dsa.true,19/05/23-22:46:25,htop.n.pp.bc,320,htop.bc,456,SeaDsa_BUTD,242048,26,8,519,40,410,291,110777,11991,110779,959
htop.false.wave-diff,19/03/05-21:16:31,htop.n.pp.bc,320,htop.bc,456,SVF_Andersen_Diff_Wave_NoType,216364,,,535,15,,221,24048,4967,26382,959
htop.true.dsa,19/05/09-11:52:14,htop.n.pp.bc,320,htop.bc,456,TeaDsa_BUTD,37876,42,9,71,5,27,259,9822,2010,11588,276
htop.true.sparse,19/02/21-18:43:38,htop.n.pp.bc,320,htop.bc,456,SVF_Sparse,483388,,,7376,20,,221,24048,4967,26382,8456
htop.true.wave-diff,19/02/21-23:03:54,htop.n.pp.bc,320,htop.bc,456,SVF_Andersen_Diff_Wave_Type,215956,,,589,19,,221,23778,4920,26128,1057
llvm.as.false.dsa,19/05/09-12:16:21,llvm-as.n.pp.bc,14012,llvm-as.bc,38400,SeaDsa_BUTD,7130696,6445,592,24665,2093,17275,19324,8992556,787196,9017080,58536
llvm.as.false.dsa.true,19/05/23-22:52:04,llvm-as.n.pp.bc,14012,llvm-as.bc,38400,SeaDsa_BUTD,,7013,640,,,,,,,,208058
llvm.as.false.wave-diff,19/03/05-21:45:34,llvm-as.n.pp.bc,14012,llvm-as.bc,38400,SVF_Andersen_Diff_Wave_NoType,15377964,,,4892131,3871,,15548,12198398,685941,13866015,4941840
llvm.as.true.dsa,19/05/09-11:52:47,llvm-as.n.pp.bc,14012,llvm-as.bc,38400,TeaDsa_BUTD,4100532,7423,608,19393,559,10971,18285,2138842,204690,2470591,30353
llvm.as.true.sparse,19/02/21-20:03:50,llvm-as.n.pp.bc,14012,llvm-as.bc,38400,SVF_Sparse,,,,,,,,,,,3600438
llvm.as.true.wave-diff,19/02/21-23:28:41,llvm-as.n.pp.bc,14012,llvm-as.bc,38400,SVF_Andersen_Diff_Wave_Type,,,,,,,,,,,3600438
llvm.dis.false.dsa,19/05/09-12:15:45,llvm-dis.n.pp.bc,11232,llvm-dis.bc,18672,SeaDsa_BUTD,4587356,6229,472,18221,1002,11227,13804,4358968,195185,4391320,35651
llvm.dis.false.dsa.true,19/05/23-22:48:08,llvm-dis.n.pp.bc,11232,llvm-dis.bc,18672,SeaDsa_BUTD,,6203,481,,,,,,,,235491
llvm.dis.false.wave-diff,19/03/05-21:17:51,llvm-dis.n.pp.bc,11232,llvm-dis.bc,18672,SVF_Andersen_Diff_Wave_NoType,9964448,,,1640907,2063,,11122,6107932,282929,6842485,1662742
llvm.dis.true.dsa,19/05/09-11:52:23,llvm-dis.n.pp.bc,11232,llvm-dis.bc,18672,TeaDsa_BUTD,3254408,6720,488,16580,302,9041,12922,1097353,18802,1404071,24173
llvm.dis.true.sparse,19/02/21-19:06:47,llvm-dis.n.pp.bc,11232,llvm-dis.bc,18672,SVF_Sparse,,,,,,,,,,,3422938
